Q00653	Q02546
Q16543	Q99558
P22087	Q99558
P07900	Q99558
Q12933	Q13077
P51787	Q9Y4K3
Q15008	Q9Y4K3
P28074	Q9Y4K3
Q13114	Q92844
P35998	Q9Y4K3
P17980	Q9Y4K3
Q99460	Q9Y4K3
O00232	Q9Y4K3
Q9UNM6	Q9Y4K3
O43242	Q9Y4K3
P51665	Q9Y4K3
O00221	O75170
O00221	Q9UPN7
O00221	Q04206
O15111	Q16543
O15111	Q13451
O15111	P07900
O14920	O15111
O14920	Q16543
O14920	P07900
Q14164	Q16543
Q13451	Q14164
P07900	Q14164
Q14164	Q86UP2
Q16543	Q9Y6K9
Q9NVQ0	Q9Y6K9
Q9H619	Q9Y6K9
P07900	Q9Y6K9
O15111	Q9Y6K9
O14920	Q9Y6K9
Q86YW3	Q9Y6K9
Q9UHD2	Q9Y6K9
Q12933	Q92844
P07900	Q13233
P04645	Q13233
P36578	Q13233
Q02546	Q13233
P31946	Q99759
P42655	Q99759
Q04917	Q99759
P27348	Q99759
Q16543	Q99759
P07900	Q99759
Q13163	Q99759
Q99759	Q9UHV9
O15111	Q99558
O14920	Q99558
Q99558	Q9Y6K9
P04645	Q99558
P36578	Q99558
Q02878	Q99558
P25120	Q99558
P04643	Q99558
Q02546	Q99558
Q04206	Q8NFZ5
O15111	Q04206
Q04206	Q13576
O14727	P55211
P55211	P98170
O15519	Q13158
P01100	P05412
Q15653	Q9H9Y6
Q04206	Q9ULX6
O96019	Q01201
Q01201	Q13843
P52292	Q01201
O60684	Q01201
Q01201	Q04206
Q01201	Q92785
P51532	Q01201
Q01201	Q8IWH2
Q01201	Q8TAQ2
O43539	Q01201
Q01201	Q12824
Q12933	Q15750
O43318	Q16543
O43318	Q13451
O43318	P07900
O43318	Q15750
O43318	Q9NYJ8
Q16543	Q9UHD2
P07900	Q9UHD2
Q92844	Q9UHD2
O94873	Q9UHD2
Q9H6S1	Q9UHD2
Q12933	Q9UHD2
P19438	Q9BQ06
P20333	Q9BQ06
P20333	Q12933
Q12933	Q15628
P98170	Q9NR28
O15519	Q9UER7
P61970	P62826
P19838	Q01201
O14920	P25963
P19838	Q15025
O00221	Q00653
P51784	Q01201
O95602	Q15653
Q15653	Q9Y6K9
Q13233	Q13451
Q99759	Q9NUG6
Q15750	Q9NYJ8
P25963	Q9Y6K9
P19838	Q8NFZ5
Q00653	Q99558
Q03527	Q9Y4K3
Q01201	Q9UBN7
O09053	Q93068
O88700	P63279
O09053	P63279
P35354	Q03135
P46013	Q9NS87
P46013	Q9BYG3
P46013	Q61686
P46013	P83916
P23198	P46013
O75592	P01106
P01106	P61244
P01106	P38398
P61244	Q9Y4A5
P61244	Q92830
O75529	P61244
O75486	P61244
P61244	Q16594
O75529	Q92830
O75486	Q92830
Q16594	Q92830
P01106	Q9Y4A5
P01106	Q92830
O75486	P01106
P01106	Q16594
O75478	P01106
P01106	Q15393
P01106	Q16514
P01106	Q9Y230
P01106	Q99741
P01106	Q99471
O88838	Q96IZ0
